database_name	LIPIDMAPS
database_version	18Mar14
394.381081	C26H50O2	LMFA01030095
422.412381	C28H54O2	LMFA01030096
450.443681	C30H58O2	LMFA01030097
478.474981	C32H62O2	LMFA01030098
98.03678	C5H6O2	LMFA01030099
112.05243	C6H8O2	LMFA01030100
168.11503	C10H16O2	LMFA01030101
168.11503	C10H16O2	LMFA01030102
168.11503	C10H16O2	LMFA01030103
168.11503	C10H16O2	LMFA01030104
168.11503	C10H16O2	LMFA01030105
168.11503	C10H16O2	LMFA01030106
168.11503	C10H16O2	LMFA01030107
168.11503	C10H16O2	LMFA01030108
252.20893	C16H28O2	LMFA01030109
280.240231	C18H32O2	LMFA01030110
280.240231	C18H32O2	LMFA01030111
280.240231	C18H32O2	LMFA01030112
280.240231	C18H32O2	LMFA01030113
280.240231	C18H32O2	LMFA01030114
280.240231	C18H32O2	LMFA01030115
280.240231	C18H32O2	LMFA01030116
280.240231	C18H32O2	LMFA01030117
280.240231	C18H32O2	LMFA01030118
280.240231	C18H32O2	LMFA01030119
280.240231	C18H32O2	LMFA01030120
280.240231	C18H32O2	LMFA01030121
280.240231	C18H32O2	LMFA01030122
280.240231	C18H32O2	LMFA01030123
280.240231	C18H32O2	LMFA01030124
280.240231	C18H32O2	LMFA01030125
280.240231	C18H32O2	LMFA01030126
280.240231	C18H32O2	LMFA01030127
294.255881	C19H34O2	LMFA01030129
308.271531	C20H36O2	LMFA01030130
336.302831	C22H40O2	LMFA01030131
336.302831	C22H40O2	LMFA01030132
392.365431	C26H48O2	LMFA01030133
250.19328	C16H26O2	LMFA01030134
250.19328	C16H26O2	LMFA01030135
250.19328	C16H26O2	LMFA01030136
250.19328	C16H26O2	LMFA01030137
250.19328	C16H26O2	LMFA01030138
250.19328	C16H26O2	LMFA01030139
278.224581	C18H30O2	LMFA01030140
278.224581	C18H30O2	LMFA01030141
278.224581	C18H30O2	LMFA01030142
278.224581	C18H30O2	LMFA01030143
278.224581	C18H30O2	LMFA01030144
278.224581	C18H30O2	LMFA01030145
278.224581	C18H30O2	LMFA01030146
278.224581	C18H30O2	LMFA01030147
278.224581	C18H30O2	LMFA01030148
278.224581	C18H30O2	LMFA01030151
278.224581	C18H30O2	LMFA01030152
278.224581	C18H30O2	LMFA01030153
278.224581	C18H30O2	LMFA01030154
278.224581	C18H30O2	LMFA01030155
278.224581	C18H30O2	LMFA01030156
306.255881	C20H34O2	LMFA01030157
306.255881	C20H34O2	LMFA01030158
306.255881	C20H34O2	LMFA01030159
334.287181	C22H38O2	LMFA01030161
334.287181	C22H38O2	LMFA01030162
248.17763	C16H24O2	LMFA01030163
248.17763	C16H24O2	LMFA01030164
248.17763	C16H24O2	LMFA01030165
248.17763	C16H24O2	LMFA01030166
276.20893	C18H28O2	LMFA01030167
276.20893	C18H28O2	LMFA01030169
276.20893	C18H28O2	LMFA01030171
276.20893	C18H28O2	LMFA01030172
304.240231	C20H32O2	LMFA01030173
304.240231	C20H32O2	LMFA01030175
304.240231	C20H32O2	LMFA01030176
332.271531	C22H36O2	LMFA01030177
332.271531	C22H36O2	LMFA01030178
332.271531	C22H36O2	LMFA01030179
